pageid,title,cleaned_member,intro_text,genres
489818,A Friend in London,['Tim Schou'],"<p><b>A Friend in London</b> var et dansk rock band. Det blev dannet i 2005 af Tim Schou (sang og guitar), Sebastian Vinther (guitar og sang), Aske Damm Bramming (bas) og Esben Svane (trommer). I 2011 vandt de Dansk Melodi Grand Prix med sangen ""New Tomorrow"", der er skrevet af Lise Cabble og Jakob Glæsner. De repræsenterede Danmark ved det internationale Melodi Grand Prix 2011 i maj i Düsseldorf, Tyskland og fik en 5. plads.
</p><p>Medlemmerne i A Friend in London mødte hinanden på Vostrup Efterskole lidt uden for Tarm i Vestjylland. Bandet vandt i 2008 den europæiske finale i musikkonkurrencen Bodog Million Dollar Battle of the Bands, med over 40.000 deltagende bands på verdensplan, hvilket resulterede i et job på den canadiske musikfestival North By NorthEast og efterfølgende en lang række jobs i Canada. De har blandt andet spillet på Canadas største branchefestival Canadian Musik Week, på det landsdækkende morgen-show <i>Breakfast TV </i>og har to gange turneret en hel måned i staten Ontario.
</p><p>A Friend in London udgav deres debutalbum i 2013.
</p>","['eurovision pop', 'rock']"
157530,Ache,"['Per Wium', 'Peter Mellin', 'Finn Olafsson', 'Steen Toft Andersen', 'Torsten Olafsson']","<p><b>Ache</b> var en dansk rockgruppe, der blev dannet i 1968. 
Musikgruppen bestod oprindeligt af Torsten Olafsson (født 28. januar 1950), på basguitar/vokal; Peter Mellin (født 10. juli 1947), på Hammondorgel; Finn Olafsson (født 16. februar 1953), på guitar og Glenn Fischer (født 3. marts 1950), på trommer. Med denne besætning udgav de to LP'er inden gruppen opløstes i sommeren 1971.
</p><p>I 1975 blev gruppen gendannet uden Torsten og Glenn, men udvidet med Stig Kreutzfeldt, vokal og percussion, Johnnie Gellett, vokal, guitar og percussion, Steen Toft Andersen, bas og Gert Smedegaard, trommer.
</p><p>I de følgende år turnerede ACHE med forskellige besætninger, men også med lange pauser ind imellem. Efter næsten 4 års sammenhængende pause forsøgte bandet at opnå et come back, bl.a. med nykomponeret musik som ballast. Denne gang fik brødrene Olafsson støtte af Alex Nyborg Madsen, vokal, Per Wium orgel (Hammond P100) og keyboards og Klaus Thrane trommer. De turnerede i mindre end et år inden den endelige opløsning af Ache.
</p><p>I 2003 samledes en række af de musikere, der havde været med i Ache, for at indspille en støttesang til <i>Bevar Christiania</i> initiativet. Det blev til singlen: ""De Skæve Drømme"".
</p>",['rock']
255559,ADS (band),"['Michael Funder Thorlasius', 'Stig Pedersen', 'Søren Slys Johnsen', 'Karsten Hjarsø', 'Peter Top-Jensen', 'Lars Top-Galia', 'Martin Krogh']","<dl><dd><span typeof=""mw:File""><span></span></span><i> For alternative betydninger, se ADS.</i> <small>(Se også artikler, som begynder med ADS)</small></dd></dl>

<p><b>ADS</b> var dansk punkband med bl.a. Stig Pedersen (D-A-D) og Lars Top-Galia (Sort Sol), der eksisterede fra 1980-1984.
</p><p>ADS havde følgende medlemmer ved starten i 1980: Michael ""Funder"" Thorlasius (sang), Stig Pedersen (bas), Søren ""Slys"" Johnsen, Karsten Hjarsø (trommer og guitar, senere medlemmer af bandet UCR) og Peter Top-Jensen (trommer og bror til Sort Sol's Lars Top-Galia).
</p><p>I 1982 blev Søren Søndergaard Johnsen og Karsten Hjarsø (UCR) erstattet af Lars Top-Galia (guitar). Senere blev Stig Pedersen erstattet af Martin Krogh (bas, ex-Martin and the Martians, Front and Fantasy)
</p>",['punk']
976777,Agathorn,[],"<p><b>Agathorn</b>, dansk rock-band dannet i 1979 og stadig aktiv (2022) Var medvirkende til at skabe Roskildes ry som rock-by i 1980'erne og et af de første danske prog-rock bands.
</p>","['rock', 'progressive rock']"
493993,Alabama Black Snakes,"['Jonas Jessen', 'Hank Lee Tuffer', 'Mads Østergaard (2)', 'Gustav Pontoppidan', 'Rasmus Christian Larsen']","<p><b>Alabama Black Snakes</b> er et rock-band fra Danmark. Deres debutalbum hedder <i>Rhythm ’N Loose</i>. Deres andet album, <i>Shake It Like The Lord Ain't Watching</i>, modtog tre ud af seks stjerner i musikmagasinet <i>GAFFA</i>. 
</p>",['rock']
279528,The Alligators,"['Ole Ballund', 'Jens Dan', 'Niels Mathiasen', 'Morten Kjeldsen']","<p><b>The Alligators</b> er en dansk musikgruppe.
</p>",[]
119543,Alrune Rod,"['Leif Roden', 'Flemming Giese Rasmussen', 'Kurt', 'Pastor', 'Ziegler Simonsen', 'Claus From Rasmussen', 'Ole Poulsen', 'Tom Lunden', 'Karsten Høst', 'Mikael Miller']","<dl><dd></dd></dl>

<p><b>Alrune Rod</b> (1968-1975) var et dansk band, der spillede syrerock. Gruppen blev dannet i 1968 og kaldte sig oprindeligt <b>Alrunes Rod</b>, men skiftede efter udgivelsen af debutalbummet <i>Alrune Rod</i> (Sonet 1516) fra 1969 navn til blot Alrune Rod.
</p><p>Alrune Rod blev dannet af følgende i samarbejde med tekstforfatteren Laus Bengtsson:
</p>
<ul><li>Leif Roden (Nielsen), sang, bas og guitar</li>
<li>Flemming Giese Rasmussen, guitar</li>
<li>Kurt ""Pastor"" Ziegler Simonsen, orgel</li>
<li>Claus From Rasmussen, trommer</li></ul>
<p>Karsten Høst medvirkede på trommer på gruppens anden plade <i>Hej Du</i> (Sonet 1524) fra 1971, og siden har forskellige musikere spillet med gruppen. Guitaristen Kenneth Kjær, Frank Lauridsen og Bent Hesselmann jammede med bandet ved flere koncerter. Ole Poulsen trådte ind i stedet for Kurt Ziegler, og Tom Lundén optrådte kortvarigt med gruppen. Mikael Miller, guitar, medvirkede på den engelsksprogede <i>Alrune Rock</i> (1974) og blev derefter fast medlem. Bandet så herefter således ud:
</p>
<ul><li>Leif Roden (født 3.3.1948, København, død 3.5 2010 samme sted) (sang, elbas, guitar, tekst, komposition)</li>
<li>Ole Poulsen (født 20.12.1950, København) (elguitar, guitar, vokal, mandolin, tekst, komposition)</li>
<li>Tom Lundén (født 16.3.1950, København) (piano, organ, acc, sang, komposition)</li>
<li>Karsten Høst (født 14.8.1948, Frederiksberg) (trommer, perkussion)</li>
<li>Mikael Miller (født 8.10.1952, Greve) (el-guitar, guitar, vokal, komposition).</li></ul>
<p>Medlemmerne i gruppen har alle spillet i forskellige københavnske grupper, bl.a. R&amp;B. Section (Poulsen og Høst) samt Day Of Phoenix (Høst).
</p><p>Alrune Rod har siden 1968 stået markant i dansk rock, og gruppen var blandt de første til at synge danske tekster. Musikken var i begyndelsen tildels et hjemligt sidestykke til den udenlandskesyrerock, tildels symfonisk i sin opbygning. Bandet medvirkede i filmen <i>Skæve dage i Thy</i>. Bandet står stadig fast placeret som Danmarks symfoniske syrerock-orkester. Dette skyldes blandt andet den 21,51 minutters lange ""Perlesøen"".
</p><p>Alrune Rod var, hvad borgerskabet forstod ved 60'er-flippere. De havde langt, filtret hår, afghanerpelse, batikfarvede undertrøjer og blikke, der var indstillet på uendeligt. Musikken var beslægtet med Gratefuld Deads tilbagelænende improvisationsrock, drømmende og med masser af tid. Guitarerne stemte ikke altid, men stemning var unik.
</p>",['rock']
236565,Alter Ego (band),"['Roman Flügel', 'Jörn Elling Wuttke']","<dl><dd><span typeof=""mw:File""><span></span></span><i> For alternative betydninger, se Alter ego (flertydig).</i> <small>(Se også artikler, som begynder med Alter ego)</small></dd></dl>



<p><b>Alter Ego</b> var et københavnsk indieband i perioden 1984-1991.
</p>",['indie rock']
81767,Amazonair,[],"<p><b>Amazonair</b> er et pop/rock band fra København, der er dannet af Jesper Sloth Møller og Jacob Petersen i 2001.
</p><p>Bandmedlemmer:
</p>
<ul><li>Jesper Sloth Møller (vokal/guitar/keys)</li>
<li>Pætur Sivertsen (guitar)</li>
<li>Rasmus Hecter (bas/moog)</li>
<li>Jacob Petersen (trommer/kor)</li></ul>","['pop', 'rock']"
402863,Among Relatives,"['Christian Sekjær', 'Josefine Dalsgaard', 'Jimmy Andersen', 'Frederik Kjærholm Elsner', 'Anders Haaning']","<p><b>Among Relatives</b> er et dansk rockband etableret i 2008. De indspillede deres debutalbum,, <i>This Room</i> i Silence-studiet i det nordlige Sverige, der udkom i 2010. Det modtog fire ud af seks stjerner i musikmagasinet <i>GAFFA</i>.
Det mest kendte nummer er ""Lines"".
</p><p>Among Relatives spiller rock inspireret af 70'erne, og bandet har bl.a. spillet på Start! festival. 
</p>",['rock']
